Archivo,N° Informe,Fecha de Muestreo,Fecha de Reporte,Fecha de Análisis,Lugar,Punto de Toma,Tipo de Agua,Temperatura (°C),Color (U Pt-Co),Turbidez (NTU),Cloro Residual (mg/L) In Situ,Cloro Residual (mg/L),pH,Conductividad (µS/cm),Sulfatos (mg/L),Dureza Total (mg/L CaCO3),Fosfatos (mg/L PO4),Nitritos (mg/L NO2),Alcalinidad f (mg/L CaCO3),Alcalinidad t (mg/L CaCO3),Cloruros (mg/L Cl-),Hierro (mg/L Fe),Coliformes Totales (UFC/100ml),E. coli (UFC/100ml),IRCA (%),Nivel de Riesgo,Archivo_origen,Hierro (mg/Fe)
CACOTA 2010.pdf,1,2010-08-10,2010-08-23,2010-08-11,Vivienda de la Señora Aura Araque,Cocina," Agua Cruda
",12.0,,1.0,0.0,0.0,8.25,620.0,49.1,,,0.0,0.0,250.0,28.0,,756.0,40.0,72.2,ALTO,informes_agua_2010.xlsx,
CACOTA 2010.pdf,2,2010-02-23,2010-03-02,2010-04-21,Vivienda del Señor Rodolfo,Cocina," Agua Cruda
",14.0,,1.7,0.0,0.0,7.5,65.0,0.0,24.0,0.25,0.0,0.0,32.0,0.0,,756.0,252.0,69.2,ALTO,informes_agua_2010.xlsx,
CACOTA 2010.pdf,3,2010-02-23,2010-03-03,2010-02-24,Vivienda del Señor JesusAntonio Duque,Cocina," Agua Cruda
",14.0,,22.4,0.0,0.0,7.87,289.0,36.5,148.0,0.25,0.0,0.0,127.0,5.0,,9576.0,7308.0,88.1,INVIABLE SANITARIAMENTE,informes_agua_2010.xlsx,
CACOTA 2010.pdf,4,2010-04-20,2010-04-26,2010-04-21,Vivienda,Cocina," Agua Cruda
",12.0,,0.6,0.0,0.0,7.23,128.0,32.3,,,0.0,0.0,30.0,0.0,,756.0,42.0,71.0,ALTO,informes_agua_2010.xlsx,
CACOTA 2010.pdf,5,2010-08-10,2010-08-23,2010-08-11,Vivienda de la Señora Diana Sanchez,Cocina," Agua Cruda
",14.0,,0.7,0.0,0.0,7.81,130.0,0.0,,,0.0,0.0,40.0,26.0,,1512.0,251.0,71.0,ALTO,informes_agua_2010.xlsx,
CACOTA 2018.pdf,1,2018-03-14,2018-03-21,2018-03-15,URBANlZACION NUESTRA SRA DE LOS DOLORES ,1,AGUA TRATADA,14.0,,,1.0,1.9,7.7,,,26.4,0.281,,0.0,13.29,0.97,,0.0,0.0,0.0,SIN RIESGO,informes_agua_2018.xlsx,
CACOTA 2018.pdf,2,2018-05-08,2018-06-15,2018-05-09,CRA 2 CALLE  2 EL CALVARIO,2,AGUA TRATADA,14.0,,,1.0,2.99,7.64,,,12.8,0.158,,0.0,6.2,2.35,,1.0,0.0,24.79,MEDIO,informes_agua_2018.xlsx,
CACOTA 2018.pdf,3,2018-05-09,2011-05-15,2018-05-10,RESTAURANTE ESCOLAR ICOTA,COCINA,AGUA CRUDA,14.0,,,0.0,0.0,7.64,,,191.6,0.076,,0.0,209.95,0.83,,2419.6,4.1,92.58,INVIABLE,informes_agua_2018.xlsx,
CACOTA 2018.pdf,4,2018-06-20,2018-06-26,2018-06-21,VIVIENDA DEL SEÑOR HERNANDO CARDENAS,COCINA,AGUA CRUDA,14.0,,,,,7.13,,,28.8,0.54,,0.0,28.41,2.34,,1986.3,195.6,90.11,INVIABLE,informes_agua_2018.xlsx,
CACOTA 2018.pdf,5,2018-09-18,2018-09-25,2018-09-20,CALLE REAL VIA PAMPLONA,3,AGUA TRATADA,12.0,,1.2,2.0,2.0,7.45,,,,,,0.0,2.26,,,0.0,0.0,0.0,SIN RIESGO,informes_agua_2018.xlsx,
CACOTA 2018.pdf,6,2018-12-11,2018-12-19,2018-12-13,URBANlZACION NUESTRA SRA DE LOS DOLORES ,1,AGUA TRATADA,4.0,,0.657,1.7,0.4,8.78,,,10.0,,0.006,0.0,1.76,,,1.0,1.0,0.0,SIN RIESGO,informes_agua_2018.xlsx,
CACOTA 2016.pdf,1,2016-02-23,2016-03-01,2016-02-24,URB NUESTRA SRA DE LOS DOLORES,1,AGUA TRATADA,14.0,33.9,3.6,2.0,2.0,7.52,,0.0,7.0,0.3,0.0,0.0,15.8,1.9,,0.0,0.0,24.5,MEDIO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,2,2016-05-17,2016-06-01,2016-05-17,RESTAURANTE ESCOLAR ANTES DEL FILTRO FENICIA,COCINA,AGUA CRUDA,12.0,28.8,1.36,0.0,0.0,6.04,,0.0,10.0,0.01,0.0,0.0,2.8,1.5,,2420.0,261.0,73.09,ALTO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,3,2016-05-17,2016-06-01,2016-05-17,RESTAURANTE ESCOLAR DESPUES DEL FILTRO FENICIA,COCINA,AGUA CRUDA,12.0,31.7,1.36,0.0,0.0,6.05,,0.0,10.0,0.01,0.0,0.0,3.0,0.0,,2420.0,29.0,73.09,ALTO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,4,2016-05-18,2016-06-01,2016-05-19,EL CALVARIO,2,AGUA TRATADA,14.0,4.0,5.07,0.8,0.3,6.81,,0.0,10.0,0.1,0.0,0.0,6.6,1.9,0.17,0.0,0.0,17.2,MEDIO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,5,2016-07-12,2016-07-21,2016-07-13,CALLE REAL,3,AGUA TRATADA,13.0,15.0,9.38,1.5,0.9,7.15,,0.0,20.0,0.21,0.0,0.0,15.4,2.8,0.19,0.0,0.0,17.24,MEDIO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,6,2016-07-13,2016-07-21,2016-07-14,RESTAURANTE ESCOLAR ICOTA,COCINA,AGUA CRUDA,13.0,0.0,0.58,0.0,0.0,7.61,,48.0,270.0,,0.005,0.0,226.3,11.4,,45.0,0.0,36.68,ALTO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,7,2016-08-17,2016-08-24,2016-08-17,BARRIO LA ESPERANZA,4,AGUA TRATADA,14.0,29.0,3.84,2.0,0.8,7.19,,0.0,16.0,0.27,0.0,0.0,19.7,1.8,,0.0,0.0,24.56,MEDIO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,8,2016-09-13,2016-09-26,2016-09-14,URBANIZACION NUESTRA SEÑORA DE LOS DOLORES,1,AGUA TRATADA,8.0,10.4,0.78,0.8,0.0,6.13,,0.0,50.0,0.17,0.0,0.0,10.8,1.3,,0.0,0.0,1.75,SIN RIESGO,informes_agua_2016.xlsx,
CACOTA 2016.pdf,9,2016-09-13,2016-09-26,2016-09-14,QUEBRADA LA PLATA,CAPTACION,AGUA CRUDA,4.0,21.9,1.46,0.0,0.0,7.41,,0.0,30.0,0.18,0.0,0.0,12.5,1.1,,2420.0,7.0,100.0,INVIABLE,informes_agua_2016.xlsx,
CACOTA 2016.pdf,10,2016-11-24,2016-12-01,2016-11-24,BARRIO LA ESPERANZA,5,AGUA TRATADA,14.0,2.0,1.39,0.6,0.0,6.96,,0.0,20.0,0.14,0.0,0.0,9.5,1.0,,0.0,0.0,0.0,SIN RIESGO,informes_agua_2016.xlsx,
CACOTA 2024.pdf,1,2024-06-18,2024-06-24,2024-06-19,LOTE PROYECTO URBANIZACiÓN NUESTRA SEÑORA DE LOS DOLORES ADJUNTO A LA QUEBRADA DE LA LAGUNA,1,AGUA TRATADA,10.0,1.2,0.2,0.62,0.0,7.97,31.0,5.1,4.8,0.0,0.0,,11.1,0.96,,0.0,0.0,0.0,SIN RIESGO,informes_agua_2024.xlsx,
